idealPower1;sref;idealPower2;href;
0.13689470523578001;46.478606858251702;0.49770435870765001;228.49137263840984;
0;330.84542465106603;0;-5142.7459536375418;
0.17000000000000001;-22.289920806713553;0.45000000000000001;-286.33520589894624;
0.158;2.6372800491168285;0.46999999999999997;-70.494728221702303;
0.1595;-0.47862005786277645;0.47999999999999998;37.425510616932755;
0.15920000000000001;0.14455996354384543;0.47599999999999998;-5.7425849185222457;
0.15926959143036301;-3.2287211051215294e-012;0.47653211380741101;1.6554977205176711e-011;
0.15926959143036301;-3.2287211051215294e-012;0.47653211380741101;1.6554977205176711e-011;
0.15926959143036101;7.8411798267237142e-012;0.47653211380741001;9.738221885398071e-012;
0.15926959143036101;7.8411798267237142e-012;0.47653211380741001;9.738221885398071e-012;
0.15926959143036101;7.8411798267237142e-012;0.47653211380741001;9.738221885398071e-012;
0.15926959143036101;7.8411798267237142e-012;0.47653211380741001;9.738221885398071e-012;
0.15926959143036101;7.8411798267237142e-012;0.47653211380741001;9.738221885398071e-012;
